city_id,city_name,state
201,Washington,District of Columbia
202,El Paso,Texas
203,Mesa,Arizona
204,San Francisco,California
205,Indianapolis,Indiana
206,Mesa,Arizona
207,Indianapolis,Indiana
208,Oklahoma City,Oklahoma
209,Indianapolis,Indiana
210,Detroit,Michigan
211,San Diego,California
212,Atlanta,Georgia
213,Austin,Texas
214,Chicago,Illinois
215,Los Angeles,California
216,Columbus,Ohio
217,San Antonio,Texas
218,San Diego,California
219,Denver,Colorado
220,Tucson,Arizona
221,Tucson,Arizona
222,Jacksonville,Florida
223,Colorado Springs,Colorado
224,Mesa,Arizona
225,Boston,Massachusetts
226,Columbus,Ohio
227,San Jose,California
228,Detroit,Michigan
229,Atlanta,Georgia
230,Los Angeles,California
231,New York,New York
232,Boston,Massachusetts
233,El Paso,Texas
234,Milwaukee,Wisconsin
235,Los Angeles,California
236,Sacramento,California
237,Austin,Texas
238,Las Vegas,Nevada
239,Dallas,Texas
240,New York,New York
241,Atlanta,Georgia
242,Oklahoma City,Oklahoma
243,Raleigh,North Carolina
244,Baltimore,Maryland
245,Oklahoma City,Oklahoma
246,Louisville,Kentucky
247,Indianapolis,Indiana
248,Nashville,Tennessee
249,San Francisco,California
250,Denver,Colorado
251,Chicago,Illinois
252,Memphis,Tennessee
253,Detroit,Michigan
254,San Diego,California
255,Sacramento,California
256,Louisville,Kentucky
257,Louisville,Kentucky
258,Boston,Massachusetts
259,Kansas City,Missouri
260,Las Vegas,Nevada
261,Boston,Massachusetts
262,New York,New York
263,Phoenix,Arizona
264,Virginia Beach,Virginia
265,Indianapolis,Indiana
266,Long Beach,California
267,Boston,Massachusetts
268,Atlanta,Georgia
269,Fresno,California
270,Columbus,Ohio
271,Columbus,Ohio
272,Atlanta,Georgia
273,Colorado Springs,Colorado
274,Omaha,Nebraska
275,Jacksonville,Florida
276,Boston,Massachusetts
277,Dallas,Texas
278,Raleigh,North Carolina
279,Sacramento,California
280,Houston,Texas
281,Milwaukee,Wisconsin
282,Los Angeles,California
283,Chicago,Illinois
284,Oklahoma City,Oklahoma
285,Los Angeles,California
286,Austin,Texas
287,Dallas,Texas
288,El Paso,Texas
289,Fresno,California
290,Detroit,Michigan
291,Kansas City,Missouri
292,Fresno,California
293,Las Vegas,Nevada
294,Sacramento,California
295,Colorado Springs,Colorado
296,Fort Worth,Texas
297,San Diego,California
298,Portland,Oregon
299,Detroit,Michigan
300,Nashville,Tennessee
