product_id,product_name,category,subcategory,brand,mrp,shelf_life_days,lead_time_days
117,Gun,Appliances,Budget,Williams Sonoma,44715,90,9
118,Sell,Lighting,Standard,Williams Sonoma,9787,30,21
119,Box,Decor,Standard,Williams Sonoma,14196,180,28
120,Per,Lighting,Premium,West Elm,26634,90,7
121,Design,Furniture,Premium,West Elm,13216,90,10
122,Add,Furniture,Standard,West Elm,10909,180,5
123,Administration,Decor,Premium,West Elm,47189,90,16
124,Firm,Furniture,Budget,Pottery Barn,37456,30,28
125,Ahead,Furniture,Standard,West Elm,39564,180,26
126,A,Lighting,Standard,Pottery Barn,20673,180,12
127,Stand,Furniture,Standard,Williams Sonoma,13381,180,7
128,Least,Appliances,Budget,Pottery Barn,19562,90,18
129,Foot,Lighting,Budget,Williams Sonoma,37678,30,17
130,Think,Cookware,Standard,Williams Sonoma,5292,90,16
131,Hot,Cookware,Premium,Pottery Barn,46224,180,6
132,Hear,Cookware,Budget,Williams Sonoma,35216,30,23
133,Cup,Lighting,Premium,Pottery Barn,9673,180,10
134,Garden,Decor,Budget,West Elm,45215,30,26
135,Foreign,Furniture,Standard,Williams Sonoma,47364,30,16
136,Measure,Decor,Standard,West Elm,49290,180,8
137,Including,Appliances,Premium,Williams Sonoma,30179,30,10
138,Give,Furniture,Standard,Pottery Barn,2728,30,15
139,Ready,Cookware,Budget,Williams Sonoma,41416,90,9
140,Believe,Cookware,Standard,West Elm,16890,90,14
141,One,Decor,Standard,Pottery Barn,11744,30,10
142,Exist,Furniture,Premium,Williams Sonoma,45227,180,26
143,Beat,Decor,Budget,Williams Sonoma,38863,180,22
144,Mr,Cookware,Standard,Pottery Barn,19665,90,22
145,Chair,Lighting,Budget,Williams Sonoma,31872,30,9
146,Month,Appliances,Standard,West Elm,23429,90,25
147,Economy,Furniture,Premium,Williams Sonoma,16487,90,24
148,Discuss,Cookware,Budget,West Elm,38024,180,21
149,Manage,Decor,Standard,West Elm,21341,180,10
150,Pm,Appliances,Premium,West Elm,9981,180,5
151,Quality,Decor,Standard,West Elm,36112,30,11
152,Walk,Decor,Standard,Pottery Barn,19860,30,15
153,Good,Appliances,Standard,West Elm,17806,180,23
154,Follow,Decor,Budget,West Elm,24677,180,13
155,Herself,Decor,Premium,Pottery Barn,9163,30,5
156,Eight,Furniture,Budget,West Elm,1747,90,28
157,Trial,Cookware,Budget,Williams Sonoma,14666,180,13
158,Most,Cookware,Premium,West Elm,38339,30,7
159,Why,Decor,Premium,Pottery Barn,24763,180,28
160,Gun,Furniture,Standard,Pottery Barn,21582,180,9
161,Respond,Furniture,Standard,Pottery Barn,7188,180,19
162,Strategy,Decor,Premium,Williams Sonoma,10450,180,16
163,Top,Lighting,Premium,Pottery Barn,14818,90,9
164,White,Decor,Standard,Williams Sonoma,31705,30,21
165,School,Appliances,Budget,Williams Sonoma,43531,180,18
166,Various,Lighting,Premium,Pottery Barn,36836,90,25
167,Mouth,Decor,Standard,Williams Sonoma,20155,90,15
168,Middle,Lighting,Budget,West Elm,42905,180,7
169,Blue,Decor,Standard,Williams Sonoma,13545,180,5
170,Adult,Appliances,Budget,Williams Sonoma,12133,180,13
171,Production,Cookware,Budget,Williams Sonoma,41472,30,7
172,Left,Furniture,Standard,Williams Sonoma,47129,180,17
173,Half,Decor,Standard,West Elm,18316,30,5
174,Explain,Furniture,Budget,Pottery Barn,48965,180,29
175,Couple,Furniture,Standard,Williams Sonoma,43786,180,18
176,Job,Lighting,Budget,Pottery Barn,35404,90,12
177,Kid,Appliances,Budget,Pottery Barn,45158,30,6
178,Debate,Decor,Standard,Pottery Barn,34233,90,25
179,Art,Appliances,Budget,West Elm,46142,30,12
180,Surface,Appliances,Standard,West Elm,18659,30,24
181,Hard,Furniture,Budget,Williams Sonoma,34337,180,19
182,Throw,Cookware,Standard,Williams Sonoma,19077,30,13
183,Increase,Cookware,Standard,West Elm,911,90,6
184,Pay,Decor,Standard,West Elm,37319,180,12
185,Impact,Lighting,Premium,Williams Sonoma,40637,90,19
186,Whether,Appliances,Premium,West Elm,21129,90,29
187,Method,Furniture,Standard,West Elm,26539,180,21
188,Amount,Cookware,Standard,West Elm,7846,90,29
189,Watch,Decor,Budget,Williams Sonoma,20670,180,28
190,Eight,Cookware,Standard,Williams Sonoma,44826,180,13
191,Large,Cookware,Standard,Pottery Barn,40839,90,15
192,Age,Decor,Standard,West Elm,49808,180,8
193,Last,Lighting,Budget,Williams Sonoma,4520,90,5
194,Hard,Decor,Budget,Pottery Barn,35158,30,5
195,Try,Cookware,Budget,West Elm,36636,30,19
196,Responsibility,Cookware,Standard,Pottery Barn,4025,90,14
197,Fast,Decor,Standard,Williams Sonoma,8129,90,20
198,Brother,Decor,Budget,West Elm,36357,30,12
199,Wide,Appliances,Budget,Pottery Barn,44338,180,13
200,Indicate,Lighting,Standard,West Elm,34641,30,23
